1;Выдача копий архивных документов, подтверждающих право владения землей;Муниципальный;Архивное управление администрации Осинниковского городского округа;3
2;Предоставление разрешения на условно разрешённый вид использования земельного участка или объекта капитального строительства;Муниципальный;Отдел архитектуры и градостроительства администрации Березовского городского округа;3
3;Выдача копий архивных документов, подтверждающих право владения землей;Муниципальный;Архивный отдел администрации Ижморского муниципального округа;3
4;Выдача копий архивных документов, подтверждающих право владения землей;Муниципальный;Архивный отдел администрации Тайгинского городского округа;3
5;Выдача копий архивных документов, подтверждающих право владения землей;Муниципальный;Отдел архивной работы администрации Яйского муниципального округа;3
6;Выдача копий архивных документов, подтверждающих право владения землей;Муниципальный;Комитет по управлению муниципальным имуществом администрации Анжеро-Судженского городского округа;3
7;Выдача копий архивных документов, подтверждающих право владения землей;Муниципальный;Комитет градостроительства и земельных ресурсов администрации города Новокузнецка;3
8;Выдача копий архивных документов, подтверждающих право владения землей;Муниципальный;Муниципальный архив Новокузнецкого муниципального округа;3
9;Выдача копий архивных документов, подтверждающих право владения землей;Муниципальный;Архивный отдел АТМО;3
10;Выдача копий распорядительных документов (в том числе копий архивных документов, подтверждающих право на владение землей);Муниципальный;МАУ «АРХИВ ГОРОДА КИСЕЛЕВСКА»;3
11;Выдача копий архивных документов, подтверждающих право владения землей;Муниципальный;Архивный отдел администрации Мариинского муниципального округа;3
12;Выдача копий архивных документов, подтверждающих право владения землей;Муниципальный;Архив Калтанского городского округа;3
13;Выдача копий архивных документов, подтверждающих право владения землей;Муниципальный;Окружной архив администрации Яшкинского муниципального округа;3
14;Выдача копий архивных документов, подтверждающих право владения землей;Муниципальный;Муниципальный архив Таштагольского муниципального района;3
15;Принятие решения о подготовке документации по планировке территории;Муниципальный;Управление архитектуры и градостроительства Полысаевского городского округа;3
16;Выдача градостроительного плана земельного участка;Муниципальный;Комитет архитектуры Администрации города Юрги;3
17;Выдача копий архивных документов, подтверждающих право владения землей;Муниципальный;Архивный отдел правового управления администрации Мысковского городского округа;3
18;Принятие заявлений, документов граждан на включение в реестр получателей долгосрочных целевых жилищных займов, социальных выплат на приобретение (строительство) жилых помещений;Муниципальный;Управление жилищной политики администрации Анжеро-Судженского городского округа;1
19;Выдача копий архивных документов, подтверждающих право владения землей;Муниципальный;Комитет по управлению муниципальным имуществом Полысаевского городского округа;3
20;Выдача градостроительного плана земельного участка;Муниципальный;Отдел архитектуры и градостроительства администрации Мысковского городского округа;3
21;Организация работы с детьми и молодежью;Муниципальный;Отдел молодежной политики администрации Ленинск-Кузнецкого городского округа;2
22;Выдача градостроительного плана земельного участка;Муниципальный;Управление архитектуры и градостроительства Администрации Беловского городского округа;3
23;Выдача градостроительного плана земельного участка;Муниципальный;Управление архитектуры и градостроительства администрации Анжеро-Судженского городского округа;3
24;Оформление охранного обязательства собственника (пользователя) объекта культурного наследия местного (муниципального) значения;Муниципальный;Управление культуры администрации Тисульского муниципального округа;3
25;Запись на обучение по дополнительной образовательной программе;Муниципальный;Управление образования администрации Тайгинского городского округа;1
26;"Предоставление земельных участков, находящихся в муниципальной собственности муниципального образования ""Таштагольский муниципальный район"" и земельных участков, государственная собственность на которые не разграничена";Муниципальный;Комитет по управлению муниципальным имуществом Таштагольского муниципального района;3
27;Выдача градостроительного плана земельного участка;Муниципальный;Администрация Яшкинского муниципального округа;3
28;Выдача гражданам справок для обращения в топливоснабжающую организацию за приобретением угля по регулируемым государственным ценам;Муниципальный;"МБУ ""КЦСОН"" ТГО";3
29;Выдача градостроительного плана земельного участка;Муниципальный;Отдел архитектуры и градостроительства администрации Тисульского муниципального округа;3
30;Выдача справки о праве на меры социальной поддержки приемного родителя;Региональный;Министерство социальной защиты населения Кузбасса;3
31;Выдача градостроительного плана земельного участка;Муниципальный;Управление архитектуры и градостроительства администрации Кемеровского муниципального округа;5
32;Выдача градостроительного плана земельного участка;Муниципальный;Управление архитектуры и градостроительства Администрации Ленинск-Кузнецкого городского округа;5
33;Выдача градостроительного плана земельного участка;Муниципальный;Отдел архитектуры и градостроительства администрации Калтанского городского округа;5
34;Выдача выписки из похозяйственной книги о наличии у гражданина права на земельный участок;Муниципальный;Территориальное управление по работе с населенными пунктами администрации Киселевского городского округа;1
35;Выдача градостроительного плана земельного участка;Муниципальный;Отдел архитектуры и градостроительства администрации Осинниковского городского округа;5
36;Выдача градостроительного плана земельного участка;Муниципальный;Отдел архитектуры и градостроительства администрации Ижморского муниципального округа;5
37;Выдача градостроительного плана земельного участка;Муниципальный;Управление архитектуры и градостроительства Полысаевского городского округа;5
38;Выдача градостроительного плана земельного участка;Муниципальный;Отдел архитектуры и строительства администрации Прокопьевского муниципального округа;5
39;Выдача градостроительного плана земельного участка;Муниципальный;Отдел архитектуры и градостроительства администрации Тяжинского муниципального округа;5
40;Выдача градостроительного плана земельного участка;Муниципальный;Отдел архитектуры и градостроительства администрации Киселевского городского округа;3
41;Выдача градостроительного плана земельного участка;Муниципальный;Управление архитектуры и градостроительства администрации города Прокопьевска;3
42;Выдача градостроительного плана земельного участка;Муниципальный;Управление архитектуры, контроля строительства и жилья администрации Ленинск-Кузнецкого муниципального округа;3
43;Выдача градостроительного плана земельного участка;Муниципальный;Отдел архитектуры и градостроительства администрации Чебулинского муниципального округа;3
44;Выдача градостроительного плана земельного участка;Муниципальный;Отдел архитектуры и градостроительства администрации Новокузнецкого муниципального округа;5
45;Выдача градостроительного плана земельного участка;Муниципальный;Отдел архитектуры и градостроительства администрации Крапивинского муниципального округа;5
46;Выдача градостроительного плана земельного участка;Муниципальный;Архитектурный отдел администрации Юргинского муниципального округа;5
